Clave del municipio,Municipio,Habitantes 2020
001,Acambay de Ruíz Castañeda,"67,872"
002,Acolman,"171,507"
003,Aculco,"49,266"
004,Almoloya de Alquisiras,"15,333"
005,Almoloya de Juárez,"174,587"
006,Almoloya del Río,"12,694"
007,Amanalco,"23,675"
008,Amatepec,"25,244"
009,Amecameca,"53,441"
010,Apaxco,"31,898"
011,Atenco,"75,489"
012,Atizapán,"12,984"
013,Atizapán de Zaragoza,"523,674"
014,Atlacomulco,"109,384"
015,Atlautla,"31,900"
016,Axapusco,"29,128"
017,Ayapango,"10,053"
018,Calimaya,"68,489"
019,Capulhuac,"36,921"
020,Coacalco de Berriozábal,"293,444"
021,Coatepec Harinas,"38,643"
022,Cocotitlán,"15,107"
023,Coyotepec,"40,885"
024,Cuautitlán,"178,847"
025,Chalco,"400,057"
026,Chapa de Mota,"31,737"
027,Chapultepec,"12,772"
028,Chiautla,"30,045"
029,Chicoloapan,"200,750"
030,Chiconcuac,"27,692"
031,Chimalhuacán,"705,193"
032,Donato Guerra,"37,436"
033,Ecatepec de Morelos,"1,645,352"
034,Ecatzingo,"10,827"
035,Huehuetoca,"163,244"
036,Hueypoxtla,"46,757"
037,Huixquilucan,"284,965"
038,Isidro Fabela,"11,929"
039,Ixtapaluca,"542,211"
040,Ixtapan de la Sal,"36,911"
041,Ixtapan del Oro,"6,475"
042,Ixtlahuaca,"160,139"
043,Xalatlaco,"30,687"
044,Jaltenco,"28,217"
045,Jilotepec,"87,671"
046,Jilotzingo,"19,877"
047,Jiquipilco,"76,826"
048,Jocotitlán,"69,264"
049,Joquicingo,"15,428"
050,Juchitepec,"27,116"
051,Lerma,"170,327"
052,Malinalco,"28,155"
053,Melchor Ocampo,"61,220"
054,Metepec,"242,307"
055,Mexicaltzingo,"13,807"
056,Morelos,"33,164"
057,Naucalpan de Juárez,"834,434"
058,Nezahualcóyotl,"1,077,208"
059,Nextlalpan,"57,082"
060,Nicolás Romero,"430,601"
061,Nopaltepec,"10,351"
062,Ocoyoacac,"72,103"
063,Ocuilan,"36,223"
064,El Oro,"36,937"
065,Otumba,"36,331"
066,Otzoloapan,"4,891"
067,Otzolotepec,"88,783"
068,Ozumba,"30,785"
069,Papalotla,"4,862"
070,La Paz,"304,088"
071,Polotitlán,"14,985"
072,Rayón,"15,972"
073,San Antonio la Isla,"31,962"
074,San Felipe del Progreso,"144,924"
075,San Martín de las Pirámides,"29,182"
076,San Mateo Atenco,"97,418"
077,San Simón de Guerrero,"6,692"
078,Santo Tomás,"9,729"
079,Soyaniquilpan de Juárez,"14,323"
080,Sultepec,"24,145"
081,Tecámac,"547,503"
082,Tejupilco,"79,282"
083,Temamatla,"14,130"
084,Temascalapa,"43,593"
085,Temascalcingo,"66,414"
086,Temascaltepec,"35,014"
087,Temoaya,"105,766"
088,Tenancingo,"104,677"
089,Tenango del Aire,"11,359"
090,Tenango del Valle,"90,518"
091,Teoloyucan,"65,459"
092,Teotihuacán,"58,507"
093,Tepetlaoxtoc,"32,564"
094,Tepetlixpa,"20,500"
095,Tepotzotlán,"103,696"
096,Tequixquiac,"39,489"
097,Texcaltitlán,"18,482"
098,Texcalyacac,"5,736"
099,Texcoco,"277,562"
100,Tezoyuca,"47,044"
101,Tianguistenco,"84,259"
102,Timilpan,"16,414"
103,Tlalmanalco,"49,196"
104,Tlalnepantla de Baz,"672,202"
105,Tlatlaya,"31,762"
106,Toluca,"910,608"
107,Tonatico,"12,912"
108,Tultepec,"157,645"
109,Tultitlán,"516,341"
110,Valle de Bravo,"61,590"
111,Villa de Allende,"53,275"
112,Villa del Carbón,"51,498"
113,Villa Guerrero,"69,086"
114,Villa Victoria,"108,196"
115,Xonacatlán,"54,633"
116,Zacazonapan,"5,109"
117,Zacualpan,"13,522"
118,Zinacantepec,"203,872"
119,Zumpahuacán,"18,833"
120,Zumpango,"280,455"
121,Cuautitlán Izcalli,"555,163"
122,Valle de Chalco Solidaridad,"391,731"
123,Luvianos,"28,822"
124,San José del Rincón,"100,082"
125,Tonanitla,"14,883"
